AER,KZN,0
ASF,KZN,0
ASF,MRV,0
CEK,KZN,0
CEK,OVB,0
DME,KZN,0
DME,NBC,0
DME,TGK,0
DME,UUA,0
EGO,KGD,0
EGO,KZN,0
GYD,NBC,0
KGD,EGO,0
KZN,AER,0
KZN,ASF,0
KZN,CEK,0
KZN,DME,0
KZN,EGO,0
KZN,LED,0
KZN,SVX,0
LED,KZN,0
LED,NBC,0
LED,UUA,0
MRV,ASF,0
NBC,DME,0
NBC,GYD,0
NBC,LED,0
NBC,SVX,0
NJC,SVX,0
NJC,UUA,0
NUX,SVX,0
OVB,CEK,0
OVB,SVX,0
SVX,KZN,0
SVX,NBC,0
SVX,NJC,0
SVX,NUX,0
SVX,OVB,0
TGK,DME,0
UUA,DME,0
UUA,LED,0
UUA,NJC,0
BTK,IKT,0
BTK,OVB,0
CEK,OVB,0
HTA,IKT,0
IKT,BTK,0
IKT,HTA,0
IKT,KCK,0
IKT,ODO,0
IKT,OVB,0
IKT,UKX,0
IKT,ULK,0
IKT,YKS,0
KCK,IKT,0
MJZ,OVB,0
ODO,IKT,0
OVB,BTK,0
OVB,CEK,0
OVB,IKT,0
UKX,IKT,0
ULK,IKT,0
YKS,IKT,0
AYP,LIM,0
CUZ,LIM,0
CUZ,PEM,0
HUU,LIM,0
IQT,PCL,0
IQT,TPP,0
LIM,AYP,0
LIM,CUZ,0
LIM,HUU,0
LIM,PCL,0
LIM,TPP,0
PCL,IQT,0
PCL,LIM,0
PCL,TPP,0
PEM,CUZ,0
TPP,IQT,0
TPP,LIM,0
TPP,PCL,0
ABJ,BOY,0
ABJ,OUA,0
ACC,OUA,0
BKO,ABJ,0
BKO,DKR,0
BKO,OUA,0
BOY,ABJ,0
BOY,OUA,0
COO,LFW,0
COO,OUA,0
DKR,BKO,0
DKR,OUA,0
LFW,OUA,0
NIM,OUA,0
OUA,ABJ,0
OUA,ACC,0
OUA,BKO,0
OUA,BOY,0
OUA,COO,0
OUA,DKR,0
OUA,LFW,0
OUA,NIM,0
BOG,GYE,0
BOG,UIO,0
CLO,GYE,0
GYE,BOG,0
GYE,CLO,0
GYE,SCY,0
GYE,UIO,0
OCC,UIO,0
SCY,GYE,0
UIO,BOG,0
UIO,GYE,0
UIO,OCC,0
BDS,ZRH,0
BOD,ZRH,0
BRS,ZRH,0
GVA,LPA,0
LCA,ZRH,0
LPA,ZRH,0
RMF,ZRH,0
TFS,GVA,0
ZRH,BDS,0
ZRH,BOD,0
ZRH,BRS,0
ZRH,LCA,0
ZRH,LPA,0
ZRH,RMF,0
AJR,LYC,0
ARN,GEV,0
ARN,HAD,0
ARN,JKG,0
ARN,KRF,0
ARN,KSD,0
ARN,LYC,0
ARN,MHQ,0
ARN,OER,0
ARN,POR,0
ARN,TRF,0
ARN,VBY,0
